x,y
0.664,-1.94255
0.6648,-1.9441
0.6656,-1.94566
0.6664,-1.94721
0.6672,-1.94877
0.668,-1.95033
0.6688,-1.95189
0.6696,-1.95346
0.6704,-1.95502
0.6712,-1.95658
0.672,-1.95815
0.6728,-1.95972
0.6736,-1.96129
0.6744,-1.96285
0.6752,-1.96443
0.676,-1.966
0.6768,-1.96757
0.6776,-1.96915
0.6784,-1.97072
0.6792,-1.9723
0.68,-1.97388
0.6808,-1.97546
0.6816,-1.97704
0.6824,-1.97862
0.6832,-1.9802
0.684,-1.98179
0.6848,-1.98338
0.6856,-1.98496
0.6864,-1.98655
0.6872,-1.98814
0.688,-1.98973
0.6888,-1.99132
0.6896,-1.99292
0.6904,-1.99451
0.6912,-1.99611
0.692,-1.99771
0.6928,-1.99931
0.6936,-2.00091
0.6944,-2.00251
0.6952,-2.00411
0.696,-2.00571
0.6968,-2.00732
0.6976,-2.00893
0.6984,-2.01053
0.6992,-2.01214
0.7,-2.01375
0.7008,-2.01536
0.7016,-2.01698
0.7024,-2.01859
0.7032,-2.02021
0.704,-2.02182
0.7048,-2.02344
0.7056,-2.02506
0.7064,-2.02668
0.7072,-2.0283
0.708,-2.02993
0.7088,-2.03155
0.7096,-2.03318
0.7104,-2.03481
0.7112,-2.03643
0.712,-2.03806
0.7128,-2.03969
0.7136,-2.04133
0.7144,-2.04296
0.7152,-2.0446
0.716,-2.04623
0.7168,-2.04787
0.7176,-2.04951
0.7184,-2.05115
0.7192,-2.05279
0.72,-2.05443
0.7208,-2.05608
0.7216,-2.05772
0.7224,-2.05937
0.7232,-2.06102
0.724,-2.06267
0.7248,-2.06432
0.7256,-2.06597
0.7264,-2.06762
0.7272,-2.06928
0.728,-2.07093
0.7288,-2.07259
0.7296,-2.07425
0.7304,-2.07591
0.7312,-2.07757
0.732,-2.07923
0.7328,-2.0809
0.7336,-2.08256
0.7344,-2.08423
0.7352,-2.0859
0.736,-2.08757
0.7368,-2.08924
0.7376,-2.09091
0.7384,-2.09258
